10: 0.014930, 0.012801, 0.011351, 0.007685
11: 0.014753, 0.012763, 0.011353, 0.007399
12: 0.014251, 0.012221, 0.010843, 0.007330
13: 0.015208, 0.013051, 0.011569, 0.007807
14: 0.015278, 0.013089, 0.011338, 0.007880
15: 0.014799, 0.012609, 0.011121, 0.007748
16: 0.014780, 0.012841, 0.011616, 0.007319
17: 0.014281, 0.012300, 0.011004, 0.007255
18: 0.014731, 0.012650, 0.011274, 0.007549
19: 0.014111, 0.012193, 0.011040, 0.007104
1: 0.015196, 0.013115, 0.011763, 0.007675
20: 0.015762, 0.013600, 0.012037, 0.007968
21: 0.014590, 0.012477, 0.011048, 0.007562
22: 0.015681, 0.013338, 0.011918, 0.008244
23: 0.014372, 0.012278, 0.010972, 0.007471
24: 0.014563, 0.012409, 0.010896, 0.007622
25: 0.014550, 0.012415, 0.010836, 0.007588
2: 0.014770, 0.012684, 0.011388, 0.007568
3: 0.014332, 0.012308, 0.011134, 0.007342
4: 0.014251, 0.012268, 0.011000, 0.007251
5: 0.015964, 0.013819, 0.012471, 0.007993
6: 0.015204, 0.012921, 0.011666, 0.008013
7: 0.015015, 0.013004, 0.011405, 0.007507
8: 0.014507, 0.012529, 0.011088, 0.007311
9: 0.013859, 0.012007, 0.011236, 0.006922
