10: 0.023898, 0.020628, 0.018067, 0.012067
11: 0.023436, 0.020398, 0.018288, 0.011540
12: 0.022558, 0.019393, 0.016840, 0.011522
13: 0.024046, 0.021196, 0.019563, 0.011355
14: 0.023604, 0.020367, 0.018447, 0.011931
15: 0.021692, 0.018952, 0.017428, 0.010553
16: 0.022305, 0.019462, 0.017609, 0.010896
17: 0.024129, 0.021010, 0.018284, 0.011866
18: 0.022778, 0.019710, 0.017111, 0.011418
19: 0.024226, 0.021028, 0.018900, 0.012031
1: 0.022758, 0.019779, 0.017902, 0.011257
20: 0.022845, 0.020148, 0.018388, 0.010767
21: 0.022623, 0.019425, 0.017053, 0.011595
22: 0.022791, 0.019604, 0.017454, 0.011623
23: 0.022189, 0.019110, 0.017040, 0.011276
24: 0.023726, 0.020605, 0.018481, 0.011763
25: 0.022966, 0.019906, 0.017351, 0.011454
2: 0.024712, 0.021452, 0.019041, 0.012267
3: 0.021154, 0.018700, 0.016994, 0.009890
4: 0.021465, 0.018646, 0.016508, 0.010634
5: 0.022846, 0.019944, 0.018239, 0.011142
6: 0.023213, 0.020264, 0.018094, 0.011324
7: 0.022147, 0.019375, 0.018023, 0.010730
8: 0.023131, 0.020122, 0.018418, 0.011409
9: 0.023110, 0.020114, 0.017508, 0.011379
