10: 0.030643, 0.023905, 0.018467, 0.019172
11: 0.052916, 0.035455, 0.023810, 0.039282
12: 0.044935, 0.033274, 0.025262, 0.030199
13: 0.028069, 0.023578, 0.019991, 0.015231
14: 0.062417, 0.043666, 0.028631, 0.044601
15: 0.031487, 0.024511, 0.019801, 0.019765
16: 0.035997, 0.028516, 0.022491, 0.021967
17: 0.100560, 0.078677, 0.051975, 0.062628
18: 0.122883, 0.108623, 0.087562, 0.057455
19: 0.034230, 0.025896, 0.020074, 0.022385
1: 0.071052, 0.045075, 0.029420, 0.054924
20: 0.041445, 0.028443, 0.021271, 0.030144
21: 0.096923, 0.079002, 0.059510, 0.056149
22: 0.051253, 0.035311, 0.025010, 0.037148
23: 0.036892, 0.027079, 0.020753, 0.025055
24: 0.037242, 0.029888, 0.024668, 0.022218
25: 0.072577, 0.064925, 0.059266, 0.032436
2: 0.044441, 0.034090, 0.025723, 0.028511
3: 0.103252, 0.092792, 0.082086, 0.045283
4: 0.033925, 0.026548, 0.021353, 0.021122
5: 0.038968, 0.029872, 0.022043, 0.025022
6: 0.051718, 0.034821, 0.025156, 0.038240
7: 0.039573, 0.029276, 0.023235, 0.026625
8: 0.076433, 0.060669, 0.044186, 0.046490
9: 0.046141, 0.033162, 0.023911, 0.032082
