0.020394, 0.016912, 0.013591, 0.011397
0.018693, 0.015945, 0.013785, 0.009757
0.020791, 0.017981, 0.015898, 0.010437
0.020450, 0.017242, 0.014160, 0.010995
0.020317, 0.017195, 0.015054, 0.010823
0.022432, 0.018702, 0.015596, 0.012386
0.020590, 0.017438, 0.014371, 0.010948
0.021171, 0.017654, 0.015333, 0.011684
0.021882, 0.018556, 0.015210, 0.011598
0.020093, 0.016843, 0.013928, 0.010956
0.020568, 0.017231, 0.014601, 0.011231
0.020501, 0.017454, 0.014928, 0.010754
0.021647, 0.018372, 0.015560, 0.011449
0.022189, 0.017736, 0.013921, 0.013333
0.019833, 0.016968, 0.014881, 0.010268
0.020131, 0.017010, 0.014233, 0.010766
0.020169, 0.017314, 0.015009, 0.010344
0.021111, 0.017752, 0.014740, 0.011426
0.020539, 0.017647, 0.015829, 0.010509
0.018247, 0.015578, 0.013085, 0.009503
0.020253, 0.017270, 0.014524, 0.010581
0.021262, 0.018024, 0.015316, 0.011280
0.020958, 0.017851, 0.015401, 0.010981
0.019920, 0.017117, 0.015016, 0.010189
