10: 0.014481, 0.012465, 0.010956, 0.007369
11: 0.014188, 0.012349, 0.011076, 0.006986
12: 0.018427, 0.014081, 0.011421, 0.011887
13: 0.015688, 0.013460, 0.011941, 0.008058
14: 0.015287, 0.013299, 0.011818, 0.007540
15: 0.017090, 0.014521, 0.012622, 0.009012
16: 0.014763, 0.012847, 0.012173, 0.007274
17: 0.015472, 0.013566, 0.012425, 0.007440
18: 0.016028, 0.013556, 0.011773, 0.008551
19: 0.015147, 0.013037, 0.011656, 0.007711
1: 0.014313, 0.012294, 0.010947, 0.007328
20: 0.016071, 0.013382, 0.011074, 0.008900
21: 0.015389, 0.012970, 0.011444, 0.008282
22: 0.016000, 0.013733, 0.012260, 0.008210
23: 0.014895, 0.012875, 0.011412, 0.007490
24: 0.014610, 0.012343, 0.010676, 0.007818
25: 0.014610, 0.012343, 0.010676, 0.007818
2: 0.014377, 0.012576, 0.011619, 0.006968
3: 0.015171, 0.012974, 0.011675, 0.007863
4: 0.014370, 0.012216, 0.010907, 0.007567
5: 0.015660, 0.013487, 0.012136, 0.007959
6: 0.015185, 0.013043, 0.011517, 0.007777
7: 0.016557, 0.014155, 0.012711, 0.008588
8: 0.014994, 0.012736, 0.010831, 0.007913
9: 0.014723, 0.012565, 0.011035, 0.007674
