10: 0.582779, 0.461112, 0.346750, 0.356379
11: 0.648417, 0.493876, 0.275384, 0.420156
12: 0.807086, 0.664235, 0.491576, 0.458454
13: 0.831128, 0.701622, 0.612151, 0.445534
14: 0.545783, 0.440713, 0.273267, 0.321950
15: 0.448588, 0.360565, 0.253183, 0.266878
16: 0.535233, 0.490531, 0.512486, 0.214134
17: 0.826716, 0.690278, 0.539914, 0.454946
18: 0.781794, 0.608000, 0.412229, 0.491465
19: 0.871123, 0.722646, 0.551135, 0.486455
1: 0.653633, 0.509691, 0.297979, 0.409208
20: 0.911807, 0.775490, 0.634797, 0.479590
21: 0.789236, 0.649795, 0.513505, 0.447950
22: 0.866538, 0.723168, 0.632368, 0.477404
23: 0.932581, 0.790071, 0.647802, 0.495474
24: 0.587414, 0.499512, 0.415221, 0.309100
25: 0.852716, 0.715556, 0.649062, 0.463794
2: 0.839697, 0.707282, 0.599167, 0.452596
3: 0.905147, 0.762810, 0.629947, 0.487249
4: 0.928868, 0.782531, 0.642952, 0.500441
5: 0.431254, 0.357422, 0.273630, 0.241308
6: 0.858272, 0.715037, 0.547894, 0.474714
7: 0.854012, 0.710780, 0.629176, 0.473421
8: 0.811972, 0.677295, 0.564045, 0.447850
9: 0.989301, 0.847889, 0.695348, 0.509706
