0.020222, 0.017682, 0.015679, 0.009812
0.020227, 0.017536, 0.015731, 0.010082
0.018595, 0.016145, 0.014016, 0.009226
0.019373, 0.017033, 0.015481, 0.009229
0.021540, 0.018987, 0.017417, 0.010172
0.019857, 0.017425, 0.015754, 0.009521
0.018306, 0.015813, 0.013751, 0.009223
0.019427, 0.016642, 0.014200, 0.010022
0.019041, 0.016122, 0.013749, 0.010131
0.019386, 0.016759, 0.014247, 0.009746
0.020002, 0.017326, 0.015249, 0.009994
0.018577, 0.015925, 0.013500, 0.009565
0.017672, 0.015213, 0.013077, 0.008992
0.019948, 0.017081, 0.014808, 0.010304
0.019161, 0.016739, 0.014639, 0.009325
0.018917, 0.016063, 0.013914, 0.009992
0.018588, 0.016004, 0.013838, 0.009454
0.020685, 0.017075, 0.014905, 0.011675
0.019442, 0.017131, 0.015588, 0.009193
0.020088, 0.017492, 0.015163, 0.009877
0.021388, 0.019313, 0.017625, 0.009190
0.021073, 0.018851, 0.017023, 0.009420
0.019017, 0.016483, 0.014677, 0.009484
0.017998, 0.015701, 0.013969, 0.008799
0.019349, 0.016239, 0.013824, 0.010519
